flying,four-legged,fruit,vegetable,object,mushroom
writing drawing,fruit,animal,house object,mushroom,non-house object
drawing,animal,set the table,home,rain,food
food dinner lunch,creativity,useless,meaningless,cute,overestimated
nausea,life,empathy,standard,serenity,unconfortable
rhyme,vegetarian lunch,meat bbq,human friend,laboratory,fauna
animal,fruit,drawing,kitchen object,house object,food
animal,fruit,vegetable,object,drawing,excluded
kitchen,fruit,animal,vegetable,art,object
home,vintage,fruit,four-legged,dressing,sadistic sex
earth,sky,sea,organized,pain,surprise
light shade,art,kitchen,fly,four-legged,tool
animal,food,tool,art,useful object,glass
red,wonder,throat,port,animal,summer
fruit,earth,thing,animal,ello,uninteresting
thing,earth,tree,animal,milk cheese,creative
animal,fruit,home,vegetable,utility,fantasy
big animal,small animal,mid-size animal,sharpened object,fruit vegetable,useful object
animal,fruit,cutlery,vegetable,home,study
fruit,vegetable,drawing,animal,house object,table object
rhyme,pet,table,fruit,object,wild animal
healthy breakfast,house object,dinner,spare time,slimy,animal
non-four-legged,four-legged,vegetable,kitchen object,fruit,non-kitchen object
four-legged,flying,fruit,graspable object,vegetable,non-graspable object
food,vegetable,wild animal,fruit,pet,everyday object
tool,vegetable,fruit,object,mammal,flying
mammal,animal,vegetable,creative,object,fruit
drawing,house object,flying,farm,company,edible
object for studying,fruit,house object,pet,animal,vegetable
steal,monocromo veg,monocromo animale,colour,wood,empty
animal,food,object,kitchen object,drawing,fruit
cutlery,home,drawing,animal,red,food
vegetable,fruit,cutlery,object,animal with wings,animal
fruit,vegetable,pet,hand,mean,desert
animal,fruit,kitchen object,useful tool,vegetable fruit,drawing
mammal,meal,phallic,light,non-mammal,red
art,fruit,food,table,animal,object
animal,kitchen tool,tool,creativity,food,fruit
ikea,fable,farm,mountain,summer,art
vegetable,fruit,animal,painting,table,object
