excellent,forced,bad,human,inconclusive,neutral
quality,path,start,eventually,result,tool
positive humanistic ,rational ,human activity,bad humanistic ,religional,mathematics
human life,human mind,emotion,rationalism,different,subjective description
good,effort,bad,kindness,sorrow,heaven
with reference,logic,religious,related to feeling,human activity,other
events,path,unity,poison,mirage,boundary
literary,goal,practical,religious,lexicon,social
computing,practical,religious,emotional,relation,status
religious  ,negative ,action,positive ,noun,non-abstract
count,religion,logic,act,positive,negative
other world,world,matemathics,good feeling,bad feeling,thinking
expression,scale,positive,good feeling,contradiction,negative
religious,work,geography,property,feeling,survey
start,need,good feeling,goal,negative feeling,other
unrelated,wisdom,negative,end,goal,positive
negative feeling,positive feeling,result ,logic,concept,achievement
money ,attention,friendship,stress,destiny,modesty
other,ideal,positive feeling,rational,negative,punishment
boundary,modesty,material world,good,destiny,logic
evil,difference,friendship,living,necessity,start
justice ,experience,travel,count,fear,good
religious,negative,positive,logic,location,topics
logic,hell,area,effort,positive,heaven
non-living,start,unrelated,end,good,bad
good feeling 2,good feeling 1,inner feeling,reasoning,bad feeling,unimportant
other world,challenge,reasoning,mathematics,goal,relax
friendship,religion,number,area,matemathics,life
feeling,decision,description,quantity,believe,duality
time,human,location,wisdom,property,other
economy,logic,friendship,religion,area,start
description,religious,position,property,result,left hemisphere
word,here,for no reson,god,money,poison
cause,non-abstract,negative,positive,neutral 1,neutral 2
location ,countable,religious ,logic ,feeling,action
feeling,spiritual behaviour,material,spiritual immaterial,spiritual negative,logic
logic,counting,negative,positive,process,unclear
numeral,friendship,unpleasant,achievement,descriptive,location
bad,good,mind,initiate,end,material
salvation,good feeling,bad feeling,connection,tension,count
