way of being and feel,logic mathematics,elementi a cui tendere,concrete
positive abstract,negative abstract,concrete,elementi per ottenere un risultato
negative,relief,motivation,mathematics
religion,contraindication,quality,geometry
limbo,failure,oppressive,light
ama il tuo prossimo come te stesso,god,growth,useful unnecessary
scientific,feeling,work,providence
psychotherapy,religion,experiment,meeting
negative,positive,motivator,word
objective,mathematics,positive,redemption
love,freedom,faith,thought
god,responsibility,mathematics,relation
positive emotion,negative emotion,concrete,abstract
bedroom,coat,expectation,staticity
soul,motivation,thing,abstract
wordly,other-wordly,positive person,negative person
principle,feeling,inner ascension,objective
redemption,damnation,happyness,duty
rationality,irrationality,sad,superfluos
religion,mathematics,realtion,feeling
positive,negative,mathematics,abstract
positive,negative,mathematical problem,productivity
behaviour,spiritual,relation,school
pushed for improving,certainty,beautiful thing,uncertainty
mathematics,positive,negative,belief
objective,faith,abstract,concrete
mathematics,thing,thing nice to own,useless thing
bad,good,science,religion
negative,positive,neutral,continuity
simple,complex,motionless,condemnation
religion,elementi presenti in un problema matematico,emozioni e concetti legati al benessere dell'individuo,emozioni e concetti legati al malessere
quarrel,character,destiny,stress
way of being and feel,human relation,abstract,concrete countable
novelty,coldness,belief,warm
logic mathematics,good abstract,non-good abstract,uncertainty abstract
beautiful,ugly,path,mathematics
positive,negative,rational,other
feeling,matter,hoax,thought
positive,negative,label,rational
religion,mathematics,emotion,concrete
